#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:Horse crab sunder 36" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:Horse crab sunder 36" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:Horse crab sunder 36" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.Horse crab sunder 36" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:Horse crab sunder 36" name="distribution" x="@birthRate.t:Horse crab sunder 36">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:Horse crab sunder 36" name="distribution">
#            <parameter id="gammaShape.s:Horse crab sunder 36" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.3" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@Horse crab sunder 36" id="treeLikelihood.Horse crab sunder 36" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Horse crab sunder 36">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Horse crab sunder 36" shape="@gammaShape.s:Horse crab sunder 36" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Horse crab sunder 36" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Horse crab sunder 36" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:Horse crab sunder 36" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:Horse crab sunder 36" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:Horse crab sunder 36" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate	gammaShape	mutationRate
0	-7493.44209826463	-7486.056370456772	-7.38572780785761	-7486.056370456772	1.4241298055103697	7.38572780785761	-7.38572780785761	1.0	1.0	1.0
1000	-4990.134438062972	-5026.335862036934	36.20142397396212	-5026.335862036934	0.43316482790760064	4.4277896052898305	36.20142397396212	6.040828949527241	1.0	1.0
2000	-3706.9963460530744	-3762.9860206114577	55.989674558383165	-3762.9860206114577	0.29536190228338766	2.5968033470453773	55.989674558383165	12.786878267290257	1.0	1.0
3000	-3010.794823295402	-3100.3010187815644	89.50619548616265	-3100.3010187815644	0.14359809386003478	0.9963653079135689	89.50619548616265	33.13676268728012	1.0	1.0
4000	-2573.8568999305	-2673.611352832266	99.75445290176629	-2673.611352832266	0.08113060097923369	0.742276051351836	99.75445290176629	43.44948654995489	1.0	1.0
5000	-2229.2961437131835	-2343.6459448607934	114.34980114760974	-2343.6459448607934	0.07456830415719198	0.4894969528960049	114.34980114760974	66.48049511503201	0.6841847178610689	1.0
6000	-2043.8964439481356	-2154.621743652019	110.72529970388356	-2154.621743652019	0.12203679184134485	0.5381489988772067	110.72529970388356	75.3528592406681	0.4425656499172369	1.0
7000	-2004.0057628941083	-2124.8320113945892	120.8262485004809	-2124.8320113945892	0.09521338381569523	0.38409054174453305	120.8262485004809	126.45136580772594	0.4425656499172369	1.0
8000	-1994.585275975013	-2115.830511071355	121.2452350963419	-2115.830511071355	0.09336698454434063	0.40139269409098977	121.2452350963419	79.61568890309222	0.4425656499172369	1.0
9000	-1973.033898879404	-2091.98868867222	118.95478979281629	-2091.98868867222	0.10076164814125832	0.427667213299082	118.95478979281629	73.1642248429783	0.4425656499172369	1.0
10000	-1965.1335590897684	-2088.2584255529264	123.12486646315806	-2088.2584255529264	0.0911001861056347	0.3810008069120663	123.12486646315806	98.44263158922409	0.4425656499172369	1.0
11000	-1959.417426804654	-2081.9815641539776	122.56413734932354	-2081.9815641539776	0.08734962171540486	0.38777950788049403	122.56413734932354	93.9939255637006	0.4425656499172369	1.0
12000	-1951.906767821848	-2071.3683892060526	119.46162138420462	-2071.3683892060526	0.11061006641883814	0.42375002558834635	119.46162138420462	85.88064627567857	0.32884351877238627	1.0
13000	-1943.0034098236301	-2061.555695849852	118.55228602622172	-2061.555695849852	0.11297756850234357	0.4083106149564183	118.55228602622172	58.6189221278309	0.32884351877238627	1.0
14000	-1925.9349626893766	-2044.064356825715	118.12939413633848	-2044.064356825715	0.12124977783113927	0.429847327828357	118.12939413633848	100.82223071056657	0.32884351877238627	1.0
15000	-1919.65078846526	-2044.9888563561537	125.33806789089392	-2044.9888563561537	0.100435066694974	0.3558528773729377	125.33806789089392	86.79716942043136	0.32884351877238627	1.0
16000	-1915.7355399414623	-2033.2126842527553	117.47714431129288	-2033.2126842527553	0.11876816249468239	0.44714331044000927	117.47714431129288	85.23556933627867	0.32884351877238627	1.0
17000	-1911.2487032666813	-2033.2641042945475	122.0154010278661	-2033.2641042945475	0.11259672476898985	0.3891496173098801	122.0154010278661	105.22256752171445	0.32884351877238627	1.0
18000	-1899.5246024330122	-2026.0926541182234	126.56805168521132	-2026.0926541182234	0.10296813966668882	0.34584790921685044	126.56805168521132	105.49128196824753	0.32884351877238627	1.0
19000	-1907.982950168804	-2028.5384048030155	120.55545463421137	-2028.5384048030155	0.12478645781516684	0.4091062546825797	120.55545463421137	94.10480027028171	0.32884351877238627	1.0
20000	-1907.7987541107805	-2035.9479222661594	128.1491681553788	-2035.9479222661594	0.09147222597766627	0.3275152267475618	128.1491681553788	122.83426409644795	0.32884351877238627	1.0
21000	-1917.1126736140989	-2041.2245874464368	124.11191383233795	-2041.2245874464368	0.1022889668219861	0.3563410838182643	124.11191383233795	72.66774797799896	0.32884351877238627	1.0
